PROOF_SWEEP_START 2026-07-28T13:34:39Z worktree=/home/heathledger/Documents/ioi/repos/ioi-m2-attestation head=2498834853799831eb56189b5cbe0caf2d34fb1d
test app::generated::architecture_contracts::tests::dynamic_raw_string_delimiter_survives_schema_controlled_hashes ... ok
test app::events::tests::pii_decision_receipt_event_back_compat_defaults ... ok
test app::generated::architecture_contracts::tests::boolean_const_projection_uses_a_literal_type ... ok
test app::generated::architecture_contracts::tests::indexed_invariant_paths_are_strict_and_fields_equal_reads_exact_slots ... ok
test app::generated::architecture_contracts::tests::invariant_runtime_rejects_absent_operands_and_uses_portable_scalar_equality ... ok
test app::consensus::tests::derive_canonical_order_public_obstruction_reports_randomness_mismatch ... ok
test app::consensus::tests::recoverable_slot_payload_v3_reconstructs_from_three_of_four_systematic_xor_parity_shares ... ok
test app::consensus::tests::recoverable_slot_payload_v4_lifts_from_v3_and_preserves_bundle ... ok
test app::consensus::tests::publication_frontier_verifies_against_header_and_predecessor ... ok
test app::consensus::tests::recoverable_slot_payload_v3_reconstructs_from_two_systematic_xor_shares ... ok
test app::consensus::tests::recoverable_slot_payload_v4_hash_changes_with_bulletin_close_bytes ... ok
test app::consensus::tests::recoverable_slot_payload_v5_hash_changes_with_bulletin_surface_entries ... ok
test app::consensus::tests::recoverable_slot_payload_v3_reconstructs_from_four_of_six_systematic_gf256_shares ... ok
test app::consensus::tests::recoverable_slot_payload_v3_reconstructs_from_three_of_five_systematic_gf256_shares ... ok
test app::consensus::tests::recoverable_slot_payload_v5_lifts_from_v4_and_extracts_surface ... ok
test app::consensus::tests::recoverable_slot_payload_v3_reconstructs_from_two_of_four_systematic_gf256_shares ... ok
test app::consensus::tests::endogenous_bulletin_extraction_requires_bound_retrievability_objects ... ok
test app::consensus::tests::recovered_surface_derives_close_valued_canonical_collapse_object ... ok
test app::consensus::tests::recoverable_slot_payload_v3_reconstructs_from_three_of_seven_systematic_gf256_shares ... ok
test app::consensus::tests::recovered_surface_derives_abort_valued_canonical_collapse_object_for_omissions ... ok
test app::consensus::tests::recoverable_slot_payload_v3_reconstructs_from_four_of_seven_systematic_gf256_shares ... ok
test app::guardianized::tests::derives_recovery_witness_certificate_from_header_guardian_certificate_pair ... ok
test app::guardianized::tests::derives_recovery_witness_certificate_from_signed_binding ... ok
test app::guardianized::tests::derives_budgeted_equal_authority_observer_plan_entries ... ok
test app::guardianized::tests::derives_unique_equal_authority_observers_and_excludes_producer ... ok
test app::harness::tests::authority_tooling_cluster_can_be_promoted_to_gated_from_shadow_run ... ok
test app::guardianized::tests::rejects_recovery_witness_certificate_derivation_on_binding_mismatch ... ok
test app::guardianized::tests::http_egress_seal_object_verifies ... ok
test app::harness::tests::canary_execution_boundary_uses_workflow_node_executor_with_rollback_drill ... ok
test app::harness::tests::blessed_live_handoff_proof_selects_workflow_canary_with_rollback ... ok
test app::harness::tests::cognition_cluster_can_be_promoted_to_gated_from_shadow_run ... ok
test app::harness::tests::component_adapter_contract_serializes_invocation_and_result_shape ... ok
test app::guardianized::tests::seal_object_rejects_mutated_proof_bytes ... ok
test app::harness::tests::gated_cluster_blocks_when_shadow_fixture_or_receipt_is_missing ... ok
test app::harness::tests::harness_fork_mutation_canary_carries_receipts_replay_and_rollback ... ok
test app::harness::tests::routing_receipts_map_policy_and_approval_gates ... ok
test app::harness::tests::routing_model_cluster_can_be_promoted_to_gated_from_shadow_run ... ok
test app::harness::tests::runtime_selector_decision_blocks_default_with_workflow_recovery_while_routing_canary ... ok
test app::harness::tests::default_runtime_dispatch_proof_accepts_readonly_default_with_provider_visible_output_authority ... ok
test app::harness::tests::receipt_binding_can_be_projected_into_node_attempt_and_shadow_comparison ... ok
test app::harness::tests::tool_names_and_action_targets_componentize_native_mcp_connector_and_model_calls ... ok
test app::harness::tests::default_harness_components_have_complete_contracts ... ok
test app::harness::tests::worker_binding_requires_activation_identity ... ok
test app::harness::tests::p0_harness_components_are_complete_workflow_addressable_contracts ... ok
test app::harness::tests::default_harness_action_frames_are_workflow_addressable ... ok
test app::hypervisoros_node_attestation::tests::posture_admission_is_deterministic_and_branch_aware ... ok
test app::harness::tests::worker_binding_registry_requires_bound_identity_without_blockers ... ok
test app::harness::tests::verification_output_cluster_can_be_promoted_to_gated_from_shadow_run ... ok
test app::runtime::thread_turn_item::tests::event_replay_cursor_filters_monotonic_sequence ... ok
test app::runtime::thread_turn_item::tests::side_effect_items_require_receipts_or_artifacts ... ok
test app::hypervisoros_node_attestation::tests::scopes_are_distinct_and_never_reuse_membership_lifecycle_or_continuity_scopes ... ok
test app::runtime::thread_turn_item::tests::terminal_statuses_are_explicit ... ok
test app::runtime::thread_turn_item::tests::thread_turn_item_defaults_use_public_tti_schema_versions ... ok
test app::runtime_contracts::tests::adapter_contracts_forbid_split_brain_runtime_truth ... ok
test app::runtime_contracts::tests::bounded_self_improvement_requires_validation_holdout_rollback_and_policy ... ok
test app::runtime_contracts::tests::computer_use_defaults_are_fail_closed_and_privacy_preserving ... ok
test app::runtime_contracts::tests::computer_use_harness_contract_requires_three_lanes_and_behavioral_loop ... ok
test app::runtime_contracts::tests::computer_use_proposals_must_be_grounded_and_policy_gated_before_execution ... ok
test app::runtime_contracts::tests::effective_agent_config_preserves_precedence_provenance_and_locks ... ok
test app::runtime_contracts::tests::model_routing_decision_requires_explainable_selected_candidate ... ok
test app::runtime_contracts::tests::operator_interruption_contract_is_durable_replayable_and_authority_preserving ... ok
test app::runtime_contracts::tests::hypervisor_gui_contract_matches_local_gpu_launch_and_retained_pack ... ok
test app::runtime_contracts::tests::postcondition_synthesis_requires_all_non_skipped_checks_to_pass ... ok
test app::runtime_contracts::tests::prompt_hash_changes_only_when_included_material_changes ... ok
test app::runtime_contracts::tests::master_guide_evidence_classes_include_all_cognitive_contracts ... ok
test app::runtime_contracts::tests::runtime_tool_contract_carries_phase_five_readiness_metadata ... ok
test app::runtime_contracts::tests::prompt_precedence_blocks_policy_skill_and_memory_overrides ... ok
test app::runtime_contracts::tests::runtime_tool_contract_separates_primitive_capabilities_from_authority_scopes ... ok
test app::runtime_contracts::tests::task_state_completion_requires_clear_objective_and_no_blockers ... ok
test app::runtime_contracts::tests::uncertainty_assessment_routes_ask_and_probe_explicitly ... ok
test app::harness::tests::worker_attach_resolver_blocks_invalid_and_accepts_bound_registry ... ok
test app::system_activation::tests::commitment_order_is_acyclic_and_downstream_navigation_is_not_state_material ... ok
test app::generated::architecture_contracts::tests::exact_json_number_equality_preserves_unique_items_semantics ... ok
test app::generated::architecture_contracts::tests::nested_public_projection_deserialization_preserves_nullability ... ok
test app::system_amendment_execution::tests::approved_amendment_compiles_with_deterministic_roots ... ok
test app::system_amendment_execution::tests::arrays_are_whole_leaves_so_reorder_is_a_difference ... ok
test app::system_amendment_execution::tests::commitment_is_tamper_sensitive ... ok
test app::system_amendment_execution::tests::declaration_discipline_refuses_unapproved_or_foreign ... ok
test app::system_amendment_execution::tests::declared_diff_must_equal_computed_diff_in_both_directions ... ok
test app::system_amendment_execution::tests::diff_is_canonical_sorted_and_structural_blind ... ok
test app::system_amendment_execution::tests::escaped_pointer_tokens_round_trip ... ok
test app::generated::architecture_contracts::tests::canonical_rfc3339_profile_is_shared_by_rust_projection ... ok
test app::system_amendment_execution::tests::governance_subtree_is_machine_protected ... ok
test app::system_amendment_execution::tests::legacy_clause_protection_migrates_fail_closed ... ok
test app::system_amendment_execution::tests::external_approval_must_bind_the_exact_declaration ... ok
test app::system_amendment_execution::tests::lineage_rules_refuse_smuggled_successors ... ok
test app::system_amendment_execution::tests::machine_floor_and_declared_protections_refuse ... ok
test app::system_amendment_execution::tests::removed_and_added_keys_yield_their_own_pointers ... ok
test app::system_amendment_execution::tests::semver_lineage_is_strict_and_rejects_malformed ... ok
test app::consensus::tests::coded_recovery_family_contract_conformance_holds_across_supported_families ... ok
test app::system_amendment_execution::tests::paused_predecessor_compiles_and_others_refuse ... ok
test app::system_continuity_transitions::tests::enrollment_exit_requires_the_exact_committed_body ... ok
test app::system_continuity_transitions::tests::scopes_are_distinct_and_not_generic_lifecycle_scopes ... ok
test app::system_activation::tests::optional_network_candidate_is_local_only_and_coordinate_bound ... ok
test app::hypervisoros_node_attestation::tests::foreign_nodes_and_stale_set_roots_are_refused ... ok
test app::system_continuity_transitions::tests::dissolution_refuses_live_effects_and_caller_authored_residuals ... ok
test app::hypervisoros_node_attestation::tests::ready_before_proof_is_structurally_impossible ... ok
test app::system_continuity_transitions::tests::migration_requires_verified_root_and_keeps_identity ... ok
test app::hypervisoros_node_attestation::tests::unverified_enforcement_coverage_is_refused_and_refs_are_server_derived ... ok
test app::generated::architecture_contracts::tests::registered_ecma_pattern_translations_compile_and_match_whitespace ... ok
test app::system_continuity_transitions::tests::succession_requires_candidate_then_reissued_authority_and_preserves_bounds ... ok
test app::generated::architecture_contracts::tests::required_nulls_and_closed_integer_enums_have_non_forgeable_rust_shapes ... ok
test app::hypervisoros_node_attestation::tests::forged_attestation_is_refused ... ok
test app::system_genesis::tests::release_root_removes_only_canon_named_fields_and_preserves_empty_release ... ok
test app::hypervisoros_node_attestation::tests::stale_attestation_outside_the_temporal_window_is_refused ... ok
test app::system_genesis::tests::blocker_report_is_sorted_deduplicated_and_bounded ... ok
test app::generated::architecture_contracts::tests::system_status_claims_require_their_exact_evidence_sets ... ok
test app::hypervisoros_node_attestation::tests::node_attestation_ladder_validates_every_registered_envelope ... ok
test app::hypervisoros_node_attestation::tests::sealed_identity_material_is_refused_and_absent_from_all_artifacts ... ok
test app::system_genesis::tests::mutable_uri_aliases_are_tokenized_without_rejecting_ordinary_names ... ok
test app::system_genesis::tests::proposal_is_a_typed_generated_projection ... ok
test app::system_genesis::tests::sequence_zero_binds_a_content_addressed_deployment_candidate ... ok
test app::system_lifecycle_transitions::compile_tests::activation_predecessor_compiles_at_sequence_three ... ok
test app::system_lifecycle_transitions::compile_tests::bootstrap_and_reserved_statuses_refuse ... ok
test app::system_lifecycle_transitions::compile_tests::commitments_are_deterministic_and_tamper_sensitive ... ok
test app::system_lifecycle_transitions::compile_tests::every_legal_matrix_row_compiles_and_every_illegal_row_refuses ... ok
test app::system_lifecycle_transitions::compile_tests::every_negative_claim_stays_false_in_the_derived_effect ... ok
test app::system_lifecycle_transitions::compile_tests::identity_detachment_and_overclaims_refuse ... ok
test app::system_lifecycle_transitions::tests::degraded_is_observed_only_and_never_a_result ... ok
test app::system_lifecycle_transitions::tests::every_op_round_trips_its_canonical_name_and_scope ... ok
test app::system_lifecycle_transitions::tests::irreversibility_classes_match_canon ... ok
test app::system_lifecycle_transitions::tests::legality_matrix_matches_the_canon_table_exactly ... ok
test app::system_lifecycle_transitions::tests::scopes_are_distinct_per_op_and_disjoint_from_bootstrap ... ok
test app::system_lifecycle_transitions::tests::terminal_states_admit_no_further_ops_except_the_canon_end_of_life_arcs ... ok
test app::system_membership_transitions::tests::admission_refuses_a_node_outside_the_system_namespace ... ok
test app::hypervisoros_node_attestation::tests::rollback_floor_is_enforced_and_never_decreases ... ok
test app::system_genesis::tests::sequence_zero_refuses_duplicate_bindings_and_activated_genesis ... ok
test app::system_genesis::tests::identical_input_produces_byte_identical_proposal_and_root ... ok
test app::system_genesis::tests::sequence_zero_exact_component_change_moves_registry_state_and_transition_roots ... ok
test app::system_membership_transitions::tests::degraded_posture_is_recorded_honestly_and_blocks_promotion ... ok
test app::system_membership_transitions::tests::scopes_are_distinct_and_never_reuse_lifecycle_or_continuity_families ... ok
test app::system_genesis::tests::sequence_zero_materializes_a_legacy_m1_3_deployment_ref_without_claiming_content ... ok
test app::system_membership_transitions::tests::stale_predecessor_membership_root_is_refused ... ok
test app::tests::block_header_hash_is_stable_across_post_finalize_enrichment ... ok
test app::wallet_network::principal_authority::tests::principal_authority_active_verification_is_intrinsic_and_time_exact ... ok
test app::wallet_network::principal_authority::tests::principal_authority_coordinates_are_exact_even_for_the_same_key ... ok
test app::wallet_network::principal_authority::tests::principal_authority_hashes_and_ref_are_stable ... ok
test app::wallet_network::principal_authority::tests::principal_authority_proof_refuses_tampering_and_foreign_root ... ok
test app::wallet_network::principal_authority::tests::principal_authority_ref_grammar_is_exact ... ok
test app::wallet_network::principal_authority::tests::principal_authority_snapshot_binding_is_exact ... ok
test app::wallet_network::principal_authority::tests::principal_authority_successor_and_revocation_semantics_are_exact ... ok
test app::system_genesis::tests::upgrade_only_release_is_refused_after_release_hashes_are_recomputed ... ok
test app::workload::tests::lease_check_fails_when_capability_lease_missing ... ok
test app::workload::tests::lease_check_fails_when_domain_out_of_scope ... ok
test app::workload::tests::lease_check_fails_when_expired ... ok
test app::workload::tests::lease_check_succeeds_for_allowlisted_domain ... ok
test app::workload::tests::runtime_target_labels_include_absorbed_localai_capability_families ... ok
test codec::tests::test_canonical_codec_roundtrip ... ok
test codec::tests::test_canonical_decode_failure ... ok
test config::tests::desktop_agent_policy_exposes_gate_control_methods ... ok
test config::tests::leakage_controller_policy_exposes_registration_and_internal_debit ... ok
test config::tests::stale_generated_wallet_method_map_requires_typed_config_migration_with_existing_state ... ok
test config::tests::wallet_network_policy_exposes_policy_rule_upsert ... ok
test config::validator_role::tests::test_embedded_in_orchestration_config ... ok
test config::validator_role::tests::test_role_serialization_compute ... ok
test config::validator_role::tests::test_role_serialization_consensus ... ok
test app::wallet_network::principal_authority::tests::wallet_protocol_fixture_is_a_rust_valid_cross_language_artifact ... ok
test app::system_membership_transitions::tests::readiness_cannot_be_claimed_before_the_declared_catchup_floor ... ok
test app::system_genesis::tests::exact_profile_body_changes_bundle_operation_and_proposal_roots ... ok
test app::system_membership_transitions::tests::forged_readiness_attestation_is_refused ... ok
test app::system_membership_transitions::tests::drain_and_removal_races_are_settled_by_strict_cas ... ok
test app::system_genesis::tests::sequence_zero_materialization_is_deterministic_typed_and_pre_activation ... ok
test app::system_genesis::tests::sequence_zero_roots_are_derived_instead_of_copying_proposal_placeholders ... ok
test app::system_membership_transitions::tests::promotion_refuses_a_consumed_role_lease ... ok
test app::system_membership_transitions::tests::writer_promotion_is_not_admissible_in_the_membership_plane ... ok
test app::system_genesis::tests::one_release_two_explicit_identities_produce_distinct_stable_roots ... ok
test app::generated::architecture_contracts::tests::schema_invalid_values_refuse_direct_projection_deserialization ... ok
test app::system_activation::tests::finalization_rejects_forged_plan_and_unrelated_authority_effect ... ok
test app::system_genesis::tests::sequence_zero_profiles_reject_predecessors_and_activation_residue ... ok
test app::system_activation::tests::legacy_compatibility_and_deployment_substitutions_refuse ... ok
test app::system_genesis::tests::every_proposal_top_level_member_has_a_fail_closed_type ... ok
test app::system_activation::tests::committed_step_rejects_detached_navigation_roots_and_coordinates ... ok
test app::system_genesis::tests::every_typed_component_lane_refuses_a_cross_category_revision ... ok
test app::system_activation::tests::full_content_addressed_initialize_activate_compilation_is_exact_and_compact ... ok
test app::system_activation::tests::compact_chain_refuses_stale_non_head_detached_and_foreign_logs ... ok
test app::generated::architecture_contracts::tests::adversarial_mutations_match_ajv_expectations_and_cover_every_keyword ... ok
test app::generated::architecture_contracts::tests::golden_fixtures_match_generated_rust_contracts has been running for over 60 seconds
test app::generated::architecture_contracts::tests::live_ajv_differential_corpus_matches_rust_validator_and_deserializer has been running for over 60 seconds
test app::system_genesis::tests::adversarial_corpus_rejects_every_named_fail_closed_case has been running for over 60 seconds
test app::generated::architecture_contracts::tests::golden_fixtures_match_generated_rust_contracts ... ok
test app::system_genesis::tests::adversarial_corpus_rejects_every_named_fail_closed_case ... ok
